energy,danceability,tempo,valence,loudness,acousticness,speechiness,popularity
0.582,0.676,124.012,0.447,-7.58,0.221,0.128,65
0.599,0.379,155.163,0.459,-6.26,0.488,0.0323,29
0.961,0.749,116.037,0.859,-6.518,0.00512,0.0874,67
0.596,0.309,164.587,0.161,-5.599,0.101,0.0293,74
0.531,0.55,98.014,0.364,-7.431,0.256,0.0309,0
0.832,0.385,119.357,0.343,-11.569,0.000175,0.149,22
0.472,0.748,149.97,0.364,-9.266,0.596,0.125,71
0.521,0.523,133.953,0.661,-4.746,0.607,0.159,77
0.909,0.648,154.925,0.613,-4.828,0.015,0.0633,32
0.356,0.748,137.641,0.59,-13.473,0.205,0.176,45
0.419,0.422,79.883,0.325,-9.049,0.741,0.0302,52
0.537,0.411,117.735,0.0759,-6.894,0.402,0.0287,40
0.588,0.549,79.495,0.545,-10.875,0.529,0.0294,51
0.98,0.268,100.315,0.395,-5.958,0.0192,0.103,74
0.64,0.245,135.739,0.105,-7.426,0.131,0.0608,78
0.646,0.525,86.957,0.373,-4.963,0.304,0.0268,70
0.892,0.419,139.972,0.0939,-6.196,0.00295,0.136,45
0.632,0.74,137.011,0.697,-5.637,0.421,0.0334,39
0.481,0.523,137.985,0.198,-9.757,0.93,0.0269,42
0.412,0.805,125.018,0.779,-12.43,0.00319,0.0531,9
0.711,0.517,108.846,0.582,-5.84,0.000763,0.0627,61
0.878,0.486,180.008,0.205,-3.068,1.52e-05,0.151,51
0.857,0.715,133.027,0.755,-4.984,0.376,0.126,26
0.373,0.368,81.902,0.124,-5.001,0.976,0.041,0
0.871,0.624,161.666,0.886,-3.498,0.386,0.0352,48
0.974,0.524,127.972,0.577,-7.205,7.45e-05,0.0919,44
0.638,0.462,145.271,0.482,-5.653,0.248,0.0271,41
0.396,0.513,140.208,0.229,-13.061,0.251,0.0299,73
0.328,0.536,175.975,0.546,-18.843,0.387,0.0647,55
0.866,0.27,148.938,0.108,-6.132,0.000408,0.085,32
0.517,0.494,76.707,0.602,-10.936,0.61,0.391,31
0.726,0.7,130.109,0.641,-7.717,0.434,0.0329,68
0.968,0.312,103.005,0.3,-3.316,0.000305,0.418,61
0.842,0.827,130.797,0.816,-9.589,0.16,0.106,15
0.458,0.234,76.028,0.2,-16.513,0.0823,0.0347,12
0.867,0.531,169.942,0.0597,-4.392,0.00874,0.0467,40
0.328,0.629,74.953,0.389,-8.284,0.768,0.029,80
0.444,0.523,122.276,0.348,-9.144,0.679,0.0305,23
0.899,0.656,124.451,0.544,-5.095,0.00201,0.0303,38
0.548,0.592,109.946,0.583,-6.483,0.436,0.0282,62
0.959,0.486,84.997,0.527,-3.857,0.000203,0.0485,57
0.979,0.512,137.794,0.535,-4.267,0.0513,0.156,61
0.701,0.696,117.99,0.491,-9.277,0.593,0.041,60
0.684,0.635,120.269,0.892,-11.687,0.088,0.0329,59
0.964,0.392,167.024,0.269,-4.441,7.13e-05,0.0644,74
0.714,0.683,173.963,0.448,-4.898,0.181,0.252,80
0.962,0.687,133.0,0.354,-4.995,0.0063,0.0397,23
0.715,0.812,104.971,0.668,-3.879,0.0602,0.0391,0
0.527,0.915,117.133,0.967,-9.869,0.465,0.0465,31
0.843,0.485,78.001,0.602,-3.993,0.00129,0.0467,73
0.342,0.403,73.534,0.154,-10.144,0.497,0.175,1
0.46,0.525,98.007,0.33,-8.594,0.826,0.0246,63
0.486,0.601,67.607,0.514,-10.852,0.862,0.116,33
0.831,0.453,113.953,0.721,-7.03,0.00304,0.0401,21
0.165,0.647,75.978,0.59,-16.328,0.894,0.0315,0
0.766,0.705,138.033,0.279,-8.432,0.511,0.033,67
0.868,0.705,124.032,0.355,-5.477,0.0102,0.0808,40
0.617,0.826,107.971,0.563,-5.815,0.0115,0.0683,34
0.75,0.331,185.97,0.26,-5.202,6.86e-05,0.0436,61
0.939,0.545,155.109,0.546,-1.783,0.158,0.119,20
0.901,0.404,171.948,0.715,-5.991,0.0035,0.0616,55
0.467,0.703,131.915,0.565,-7.498,0.653,0.0335,31
0.577,0.717,104.927,0.235,-5.436,0.708,0.0491,78
0.448,0.556,80.754,0.338,-9.131,0.884,0.0314,0
0.989,0.449,173.042,0.312,-2.42,0.000247,0.171,29
0.452,0.563,91.98,0.581,-8.96,0.877,0.048,27
0.83,0.595,139.922,0.494,-3.836,0.046,0.0379,66
0.952,0.391,188.002,0.743,-1.958,0.0484,0.0589,33
0.963,0.51,155.976,0.57,-2.662,0.00806,0.0523,61
0.427,0.459,139.902,0.354,-7.734,0.114,0.0267,76
0.912,0.575,117.399,0.843,-7.275,0.0916,0.0393,72
0.471,0.233,182.161,0.277,-10.947,0.363,0.0294,68
0.402,0.71,106.024,0.136,-9.91,0.873,0.0274,28
0.973,0.442,164.852,0.635,-2.01,0.0268,0.156,57
0.752,0.489,192.133,0.179,-5.422,0.665,0.0372,65
0.6,0.548,143.961,0.296,-5.049,0.071,0.0297,62
0.48,0.414,148.087,0.155,-8.519,0.274,0.0329,43
0.895,0.792,94.968,0.794,-3.112,0.165,0.0589,79
0.543,0.727,127.0,0.423,-9.773,0.0264,0.0549,39
0.936,0.324,164.402,0.899,-5.967,0.0185,0.129,25
0.564,0.695,79.857,0.271,-6.884,0.0998,0.258,35
0.143,0.689,85.398,0.528,-17.374,0.97,0.264,66
0.736,0.775,100.988,0.362,-8.072,0.319,0.247,82
0.784,0.799,96.953,0.26,-5.207,0.11,0.0519,69
0.7,0.843,93.991,0.899,-3.563,0.0934,0.0803,85
0.795,0.4,190.097,0.702,-3.731,0.119,0.461,80
0.639,0.739,121.962,0.303,-6.838,0.168,0.0299,52
0.99,0.558,138.074,0.0738,-3.877,0.000206,0.128,62
0.479,0.87,104.059,0.717,-7.779,0.161,0.165,1
0.974,0.586,180.008,0.273,-3.468,0.0046,0.192,0
0.697,0.481,139.975,0.271,-4.878,0.131,0.0328,38
0.371,0.506,79.01,0.45,-9.648,0.782,0.0717,0
0.551,0.271,143.899,0.2,-8.46,0.0307,0.0272,71
0.634,0.653,160.013,0.306,-5.875,0.0232,0.0391,74
0.625,0.592,166.018,0.555,-6.203,0.618,0.2,77
0.0891,0.446,92.73,0.221,-20.31,0.991,0.0399,0
0.713,0.607,124.868,0.611,-5.105,0.56,0.03,76
0.97,0.132,83.561,0.0371,-5.904,4.29e-06,0.102,17
0.973,0.314,101.843,0.0598,-5.53,1.17e-05,0.0852,24
0.683,0.722,125.003,0.0521,-11.111,8.14e-05,0.043,8
0.147,0.212,105.168,0.155,-19.979,0.969,0.0406,0
0.296,0.508,82.532,0.134,-10.513,0.897,0.0755,0
0.923,0.695,108.014,0.551,-3.93,0.0425,0.0522,82
0.5,0.737,124.986,0.724,-6.447,0.00831,0.0456,29
0.69,0.847,125.004,0.692,-7.877,0.0127,0.0493,90
0.294,0.6,86.97,0.342,-12.301,0.871,0.0292,71
0.0797,0.38,109.091,0.0668,-18.041,0.991,0.0438,55
0.766,0.511,104.046,0.331,-7.403,0.109,0.0359,44
0.742,0.659,106.947,0.729,-4.624,0.146,0.0283,63
0.75,0.803,106.0,0.628,-4.67,0.0233,0.0551,68
0.716,0.649,99.988,0.163,-5.371,0.0863,0.0349,84
0.87,0.788,109.974,0.884,-5.217,0.123,0.177,67
0.796,0.756,99.993,0.438,-6.333,0.218,0.0646,43
0.4,0.686,139.946,0.34,-9.326,0.865,0.0353,34
0.97,0.522,121.054,0.488,-4.576,5.53e-05,0.209,61
0.949,0.487,110.02,0.406,-4.217,0.000429,0.0798,70
0.766,0.704,133.99,0.0646,-8.238,0.000703,0.0571,45
0.475,0.619,119.214,0.542,-12.042,0.755,0.0339,16
0.666,0.661,92.475,0.381,-5.932,0.457,0.0277,71
0.262,0.144,94.43,0.0345,-21.228,0.876,0.0641,16
0.961,0.468,94.926,0.31,-4.082,0.00364,0.114,64
0.813,0.547,149.942,0.388,-6.425,0.0514,0.314,0
0.788,0.688,101.006,0.774,-3.064,0.0164,0.0436,0
0.884,0.689,144.011,0.177,-7.416,7.08e-05,0.0556,31
0.833,0.734,94.072,0.941,-3.762,0.458,0.338,21
0.687,0.41,132.559,0.967,-11.598,0.0787,0.0314,20
0.473,0.647,129.961,0.227,-6.847,0.728,0.0353,60
0.851,0.579,104.021,0.77,-4.981,0.1,0.0392,40
0.158,0.384,103.0,0.574,-21.111,0.93,0.0308,22
0.426,0.372,123.993,0.287,-8.421,0.687,0.0339,66
0.622,0.651,136.239,0.96,-14.889,0.00935,0.0322,23
0.955,0.691,164.844,0.499,-6.174,4.33e-05,0.0818,19
0.194,0.0828,171.933,0.0489,-17.49,0.898,0.0349,20
0.851,0.593,119.987,0.344,-5.456,0.0683,0.0446,71
0.61,0.448,123.762,0.214,-2.695,0.0102,0.0342,70
0.794,0.728,112.017,0.0911,-5.852,0.000779,0.0257,60
0.962,0.635,132.017,0.311,-2.699,0.0458,0.053,50
0.54,0.675,119.997,0.562,-11.309,0.00697,0.0503,33
0.848,0.496,112.916,0.21,-5.073,0.624,0.0823,41
0.729,0.68,123.97,0.446,-5.077,0.612,0.0475,79
0.908,0.645,104.233,0.877,-4.682,0.421,0.0997,60
0.145,0.492,90.078,0.218,-14.504,0.872,0.0422,0
0.705,0.582,128.89,0.64,-8.169,0.29,0.0539,0
0.672,0.708,93.886,0.399,-7.493,0.322,0.0582,72
0.733,0.81,125.975,0.9,-6.338,0.276,0.0444,80
0.917,0.51,75.098,0.313,-4.806,0.0054,0.0854,74
0.0244,0.462,74.267,0.128,-28.993,0.981,0.0385,60
0.725,0.606,136.815,0.963,-7.019,0.831,0.0352,57
0.664,0.64,134.002,0.879,-4.73,0.196,0.0289,32
0.978,0.666,139.991,0.63,-5.118,0.0149,0.0925,55
0.655,0.743,172.031,0.785,-5.015,0.114,0.159,79
0.673,0.797,122.991,0.429,-7.691,0.175,0.0745,27
0.95,0.604,137.016,0.473,-4.186,0.0015,0.0866,29
0.651,0.878,105.023,0.25,-6.43,0.186,0.316,37
0.942,0.608,143.979,0.46,-3.401,0.0235,0.0696,40
0.758,0.773,144.033,0.925,-4.993,0.0422,0.0381,81
0.469,0.363,171.988,0.102,-8.404,0.794,0.0528,67
0.572,0.544,169.885,0.52,-6.205,0.118,0.0319,0
0.236,0.159,96.834,0.0345,-17.35,0.916,0.0381,0
0.996,0.569,100.02,0.461,-0.45,0.198,0.224,65
0.988,0.413,185.034,0.362,-1.729,0.00123,0.205,53
0.88,0.658,83.888,0.963,-2.572,0.152,0.0653,48
0.849,0.636,156.036,0.917,-7.075,0.0438,0.106,74
0.91,0.552,126.007,0.369,-3.226,0.224,0.0385,63
0.8,0.629,87.51,0.0947,-4.82,0.0358,0.0418,20
0.886,0.603,126.025,0.395,-3.777,0.00045,0.0837,72
0.534,0.693,124.04,0.304,-9.103,0.0552,0.028,28
0.499,0.489,133.341,0.829,-9.702,0.74,0.0271,61
0.452,0.752,99.684,0.833,-11.399,0.133,0.35,66
0.409,0.76,101.975,0.231,-7.601,0.202,0.0428,43
0.331,0.557,108.208,0.506,-10.184,0.786,0.0269,49
0.671,0.302,109.866,0.0533,-7.555,0.351,0.0386,11
0.305,0.563,84.316,0.333,-12.784,0.643,0.0261,22
0.85,0.673,100.008,0.793,-5.021,0.0345,0.0337,65
0.945,0.689,199.554,0.94,-1.741,0.0607,0.365,20
0.798,0.654,92.207,0.574,-4.084,0.188,0.0451,69
0.733,0.481,122.903,0.874,-7.633,0.573,0.165,60
0.656,0.46,85.358,0.73,-6.96,0.768,0.0401,43
0.88,0.417,149.987,0.579,-4.022,0.167,0.0521,0
0.701,0.871,126.975,0.716,-5.594,0.257,0.0458,79
0.948,0.609,144.037,0.786,-4.938,0.00404,0.113,0
0.803,0.807,91.987,0.706,-4.156,0.602,0.126,75
0.269,0.608,126.372,0.389,-7.201,0.983,0.0329,63
0.453,0.603,135.028,0.384,-8.501,0.45,0.0307,64
0.399,0.585,128.03,0.349,-8.133,0.849,0.0286,63
0.472,0.545,134.027,0.193,-7.552,0.434,0.0279,65
0.363,0.349,169.928,0.103,-11.718,0.537,0.0394,49
